vintage,n_rows,n_eligible,delinq_rate,prepay_rate,null_cscore,null_dti,null_oltv,null_rate_incentive,null_macro_mortgage30us,null_hpi_ratio,violations,passed
2000Q1,246862,246862,0.0132,0.3395,0.024,0.0427,0.0,0.0003,0.0003,0.0037,OK,True
2000Q2,274339,274339,0.0124,0.4015,0.0192,0.0373,0.0,0.0012,0.0012,0.0051,OK,True
2000Q3,333498,333498,0.0111,0.3607,0.0176,0.035,0.0,0.0065,0.0065,0.0093,OK,True
2000Q4,363892,363892,0.0123,0.3597,0.0195,0.0401,0.0,0.0074,0.0074,0.0099,OK,True
2001Q1,471277,471277,0.0108,0.3327,0.0156,0.0316,0.0,0.0106,0.0106,0.0137,OK,True
2001Q2,847128,847128,0.0079,0.3726,0.0137,0.0265,0.0,0.0037,0.0037,0.0064,OK,True
2001Q3,790095,790095,0.0086,0.4649,0.0151,0.0358,0.0,0.0016,0.0016,0.0043,OK,True
2001Q4,896643,896643,0.0075,0.4437,0.0117,0.0582,0.0,0.0012,0.0012,0.0032,OK,True
2002Q1,968761,968761,0.0072,0.3944,0.0105,0.0265,0.0,0.001,0.001,0.0035,OK,True
2002Q2,669494,669494,0.0089,0.3497,0.009,0.0344,0.0,0.0016,0.0016,0.0041,OK,True
2002Q3,751084,751084,0.0075,0.2418,0.0076,0.0287,0.0,0.0018,0.0018,0.0039,OK,True
2002Q4,1248940,1248940,0.0042,0.1608,0.0047,0.0311,0.0,0.002,0.002,0.0032,OK,True
2003Q1,1427858,1427858,0.004,0.1493,0.0041,0.0252,0.0,0.0006,0.0006,0.0021,OK,True
2003Q2,1652957,1652957,0.004,0.1246,0.0029,0.0325,0.0,0.0011,0.0011,0.0031,OK,True
2003Q3,1738612,1738612,0.0038,0.1052,0.0033,0.0315,0.0,0.0006,0.0006,0.0029,OK,True
2003Q4,840388,840388,0.0063,0.1327,0.0046,0.0427,0.0,0.0028,0.0028,0.0063,OK,True
2004Q1,452471,452471,0.0087,0.1369,0.0055,0.0339,0.0,0.0033,0.0033,0.0093,OK,True
2004Q2,614487,614487,0.0072,0.1135,0.0055,0.0685,0.0,0.0027,0.0027,0.0059,OK,True
2004Q3,389487,389487,0.0094,0.1254,0.0061,0.0733,0.0,0.0074,0.0074,0.0134,OK,True
