feature,gain,weight
f12_ever_30,1538221.375,8.0
f12_dlq_max,499693.75,339.0
f12_months_30p,397595.6875,227.0
CSCORE_B,69573.6328125,633.0
f12_upb_paid_ratio,65824.171875,619.0
hpi_state_growth_1y,58648.37890625,603.0
f12_ever_60,55393.4609375,2.0
hpi_state_ratio_curr_to_orig,46286.37890625,301.0
ORIG_RATE,41529.359375,303.0
est_current_ltv_from_oltv,31083.365234375,521.0
CSCORE_C,25452.982421875,305.0
f12_months_60p,24844.771484375,139.0
f12_forbearance,23013.63671875,255.0
DTI,20615.662109375,280.0
NUM_BO,19610.251953125,201.0
f12_last_age_seen,18072.623046875,461.0
PURPOSE,14003.9326171875,219.0
rate_incentive,12937.4736328125,126.0
macro_mortgage30us,12389.0185546875,135.0
OLTV,10564.185546875,75.0
OCLTV,8683.51953125,182.0
CHANNEL,8610.3583984375,59.0
macro_term_spread_10y3m,7302.5224609375,109.0
STATE,7047.75341796875,861.0
macro_unrate,6881.40625,188.0
ORIG_UPB,5713.7158203125,189.0
PROP,4799.546875,56.0
hpi_state_curr,4429.5927734375,86.0
hpi_state_orig,4057.54541015625,150.0
OCC_STAT,3915.259765625,98.0
f12_last_upb,3558.726318359375,191.0
macro_dgs10,3123.03125,125.0
f12_n_obs,2408.6015625,67.0
f12_months_90p,1784.695068359375,41.0
FIRST_FLAG,1512.546630859375,20.0
f12_ever_90,972.6015625,5.0
ORIG_TERM,807.3566284179688,38.0
f12_mod_flag,233.357177734375,60.0
