feature,gain,weight
f12_forbearance,214473.875,167.0
f12_last_age_seen,84404.6796875,287.0
ORIG_RATE,35384.06640625,1065.0
f12_last_upb,17785.76171875,542.0
rate_incentive,15708.91796875,820.0
ORIG_UPB,9098.330078125,928.0
hpi_state_growth_1y,8962.19921875,707.0
macro_term_spread_10y3m,7541.7587890625,472.0
hpi_state_ratio_curr_to_orig,7165.19482421875,371.0
macro_unrate,6271.56494140625,837.0
OCC_STAT,5681.923828125,227.0
macro_dgs10,5596.619140625,445.0
macro_mortgage30us,5440.54833984375,727.0
f12_upb_paid_ratio,5074.9638671875,685.0
STATE,4691.65771484375,1555.0
ORIG_TERM,4101.4677734375,245.0
f12_months_30p,3512.865234375,173.0
CSCORE_B,3169.7490234375,732.0
est_current_ltv_from_oltv,2493.13134765625,720.0
FIRST_FLAG,2385.861572265625,63.0
f12_n_obs,2373.1806640625,360.0
hpi_state_orig,1976.64599609375,183.0
PROP,1902.0966796875,209.0
PURPOSE,1142.9249267578125,439.0
OLTV,1114.134033203125,308.0
CHANNEL,1083.7567138671875,104.0
hpi_state_curr,1060.3509521484375,190.0
NUM_BO,1041.6600341796875,83.0
f12_dlq_max,952.7708129882812,329.0
CSCORE_C,940.1726684570312,231.0
OCLTV,794.0100708007812,459.0
DTI,761.6599731445312,282.0
f12_ever_60,748.021240234375,1.0
f12_ever_30,604.0479125976562,2.0
f12_months_90p,311.0378723144531,104.0
f12_months_60p,306.1770324707031,77.0
f12_ever_90,70.77212524414062,2.0
f12_mod_flag,0.0,0.0
