vintage,delinq_rate,prepay_rate
2000Q1,0.0132,0.3395
2000Q2,0.0124,0.4015
2000Q3,0.0111,0.3607
2000Q4,0.0123,0.3597
2001Q1,0.0108,0.3327
2001Q2,0.0079,0.3726
2001Q3,0.0086,0.4649
2001Q4,0.0075,0.4437
2002Q1,0.0072,0.3944
2002Q2,0.0089,0.3497
2002Q3,0.0075,0.2418
2002Q4,0.0042,0.1608
2003Q1,0.004,0.1493
2003Q2,0.004,0.1246
2003Q3,0.0038,0.1052
2003Q4,0.0063,0.1327
2004Q1,0.0087,0.1369
2004Q2,0.0072,0.1135
2004Q3,0.0094,0.1254
2004Q4,0.009,0.1008
2005Q1,0.0083,0.0911
2005Q2,0.008,0.0911
2005Q3,0.0078,0.0837
2005Q4,0.0098,0.086
2006Q1,0.0125,0.093
2006Q2,0.0149,0.1075
2006Q3,0.0178,0.1412
2006Q4,0.0224,0.1182
2007Q1,0.0277,0.0974
2007Q2,0.0342,0.1131
2007Q3,0.0451,0.163
2007Q4,0.0704,0.1807
2008Q1,0.0586,0.1607
2008Q2,0.0458,0.1354
2008Q3,0.0465,0.1583
2008Q4,0.0318,0.2011
2009Q1,0.0083,0.1544
2009Q2,0.0047,0.1033
2009Q3,0.0042,0.1091
2009Q4,0.0043,0.1191
2010Q1,0.0038,0.1204
2010Q2,0.003,0.1603
2010Q3,0.0024,0.2003
2010Q4,0.0019,0.1767
2011Q1,0.0022,0.1723
2011Q2,0.0032,0.1965
2011Q3,0.0025,0.2025
2011Q4,0.0016,0.1563
2012Q1,0.0018,0.0965
2012Q2,0.0015,0.065
2012Q3,0.0014,0.049
2012Q4,0.0014,0.0473
2013Q1,0.0014,0.0481
2013Q2,0.0016,0.0565
2013Q3,0.0023,0.1019
2013Q4,0.0035,0.1527
2014Q1,0.0037,0.1419
2014Q2,0.0038,0.1234
2014Q3,0.0042,0.1195
2014Q4,0.0041,0.1457
2015Q1,0.0038,0.1427
2015Q2,0.0032,0.1117
2015Q3,0.0038,0.114
2015Q4,0.005,0.0973
2016Q1,0.0068,0.0875
2016Q2,0.0064,0.0783
2016Q3,0.0062,0.0706
2016Q4,0.0055,0.0653
2017Q1,0.0068,0.0696
2017Q2,0.0062,0.0708
2017Q3,0.0059,0.0759
2017Q4,0.0061,0.096
2018Q1,0.007,0.1268
2018Q2,0.0148,0.2295
2018Q3,0.0393,0.2991
2018Q4,0.0486,0.3098
2019Q1,0.0527,0.3336
2019Q2,0.0483,0.3408
2019Q3,0.0398,0.3334
2019Q4,0.0308,0.2993
2020Q1,0.0249,0.2594
2020Q2,0.0102,0.1709
2020Q3,0.0066,0.1178
2020Q4,0.0058,0.0736
2021Q1,0.0054,0.0519
2021Q2,0.0065,0.0429
2021Q3,0.0086,0.0385
2021Q4,0.0093,0.0371
2022Q1,0.0111,0.0373
2022Q2,0.0138,0.0422
2022Q3,0.017,0.0517
2022Q4,0.0155,0.0669
2023Q1,0.0148,0.0787
2023Q2,0.0113,0.0776
2023Q3,0.0113,0.1036
2023Q4,0.0062,0.4064
2024Q1,0.005,0.458
2024Q2,0.0023,0.3756
2024Q3,0.0006,0.2601
2024Q4,0.0,0.0312
2025Q1,0.0,0.007
2025Q2,0.0,0.0056
2025Q3,0.0,0.0117
